Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,CUSIP,Exchange,Location,Currency,Market Currency
CSL,CSL LTD,Equity,7.77,282.70,"575,544.00","162,706,288.80","162,706,288.80",Health Care,6185495,AU000000CSL8,S61854956,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CBA,COMMONWEALTH BANK OF AUSTRALIA,Equity,7.71,71.99,"2,243,988.00","161,544,696.12","161,544,696.12",Financials,6215035,AU000000CBA7,S62150354,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BHP,BHP BILLITON LTD,Equity,6.84,38.38,"3,734,210.00","143,318,979.80","143,318,979.80",Materials,6144690,AU000000BHP4,S61446902,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WBC,WESTPAC BANKING CORPORATION CORP,Equity,3.86,17.68,"4,576,834.00","80,918,425.12","80,918,425.12",Financials,6076146,AU000000WBC1,S60761467,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NAB,NATIONAL AUSTRALIA BANK LTD,Equity,3.44,17.81,"4,049,755.00","72,126,136.55","72,126,136.55",Financials,6624608,AU000000NAB4,S66246083,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WES,WESFARMERS LTD,Equity,3.17,46.20,"1,436,319.00","66,357,937.80","66,357,937.80",Consumer Discretionary,6948836,AU000000WES1,S69488369,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ANZ,AUSTRALIA AND NEW ZEALAND BANKING,Equity,3.13,18.25,"3,593,014.00","65,572,505.50","65,572,505.50",Financials,6065586,AU000000ANZ3,S60655867,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WOW,WOOLWORTHS LTD,Equity,2.97,38.89,"1,599,880.00","62,219,333.20","62,219,333.20",Consumer Staples,6981239,AU000000WOW2,S69812394,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
MQG,MACQUARIE GROUP LTD DEF,Equity,2.48,124.38,"418,149.00","52,009,372.62","52,009,372.62",Financials,B28YTC2,AU000000MQG1,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
TLS,TELSTRA CORPORATION LTD,Equity,2.44,3.40,"15,057,506.00","51,195,520.40","51,195,520.40",Communication,6087289,AU000000TLS2,S60872892,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
RIO,RIO TINTO LTD,Equity,2.36,105.11,"469,968.00","49,398,336.48","49,398,336.48",Materials,6220103,AU000000RIO1,S62201033,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
TCL,TRANSURBAN GROUP,Equity,2.25,13.64,"3,463,013.00","47,235,497.32","47,235,497.32",Industrials,6200882,AU000000TCL6,S62008826,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
FMG,FORTESCUE METALS GROUP LTD,Equity,1.67,16.26,"2,148,602.00","34,936,268.52","34,936,268.52",Materials,6086253,AU000000FMG4,S60862539,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NCM,NEWCREST MINING LTD,Equity,1.62,33.01,"1,025,497.00","33,851,655.97","33,851,655.97",Materials,6637101,AU000000NCM7,S66371014,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
GMG,GOODMAN GROUP UNITS LTD,Equity,1.56,15.82,"2,064,708.00","32,663,680.56","32,663,680.56",Real Estate,B03FYZ4,AU000000GMG2,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
COL,COLES GROUP LTD,Equity,1.30,17.91,"1,523,251.00","27,281,425.41","27,281,425.41",Consumer Staples,BYWR0T5,AU0000030678,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WPL,WOODSIDE PETROLEUM LTD,Equity,1.16,20.10,"1,210,901.00","24,339,110.10","24,339,110.10",Energy,6979728,AU000000WPL2,980228100,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BXB,BRAMBLES LTD,Equity,1.02,11.09,"1,922,917.00","21,325,149.53","21,325,149.53",Industrials,B1FJ0C0,AU000000BXB1,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ASX,ASX LTD,Equity,0.99,84.13,"245,667.00","20,667,964.71","20,667,964.71",Financials,6129222,AU000000ASX7,S61292223,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ALL,ARISTOCRAT LEISURE LTD,Equity,0.98,25.39,"810,159.00","20,569,937.01","20,569,937.01",Consumer Discretionary,6253983,AU000000ALL7,S62539838,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
APT,AFTERPAY LTD,Equity,0.96,69.49,"288,133.00","20,022,362.17","20,022,362.17",Information Technology,BF5L8B9,AU000000APT1,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SHL,SONIC HEALTHCARE LTD,Equity,0.91,31.54,"602,900.00","19,015,466.00","19,015,466.00",Health Care,6821120,AU000000SHL7,S68211200,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
AMC,AMCOR LTD,Equity,0.87,15.36,"1,181,864.00","18,153,431.04","18,153,431.04",Materials,6066608,AU000000AMC4,S60666088,ASX - All Markets,United States,Australian Dollar,Australian Dollar
A2M,A2 MILK LTD,Equity,0.86,19.28,"938,725.00","18,098,618.00","18,098,618.00",Consumer Staples,BWSRTS7,NZATME0002S8,--,ASX - All Markets,New Zealand,Australian Dollar,Australian Dollar
QBE,QBE INSURANCE GROUP LTD,Equity,0.82,9.26,"1,862,287.00","17,244,777.62","17,244,777.62",Financials,6715740,AU000000QBE9,S67157404,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
APA,APA GROUP UNITS,Equity,0.79,11.09,"1,496,559.00","16,596,839.31","16,596,839.31",Utilities,6247306,AU000000APA1,S62473061,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
IAG,INSURANCE AUSTRALIA GROUP LTD,Equity,0.78,5.57,"2,931,707.00","16,329,607.99","16,329,607.99",Financials,6271026,AU000000IAG3,S62710264,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
COH,COCHLEAR LTD,Equity,0.77,192.92,"83,347.00","16,079,303.24","16,079,303.24",Health Care,6211798,AU000000COH5,S62117981,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
JHX,JAMES HARDIE INDUSTRIES CDI PLC,Equity,0.75,27.85,"561,692.00","15,643,122.20","15,643,122.20",Materials,B60QWJ2,AU000000JHX1,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SYD,SYDNEY AIRPORT UNITS LTD,Equity,0.74,5.40,"2,865,664.00","15,474,585.60","15,474,585.60",Industrials,B70DWB2,AU000000SYD9,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
RHC,RAMSAY HEALTH CARE LTD,Equity,0.69,63.30,"229,531.00","14,529,312.30","14,529,312.30",Health Care,6041995,AU000000RHC8,S60419959,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SUN,SUNCORP GROUP LTD,Equity,0.69,9.05,"1,598,863.00","14,469,710.15","14,469,710.15",Financials,6585084,AU000000SUN6,S65850844,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NST,NORTHERN STAR RESOURCES LTD,Equity,0.68,15.15,"937,932.00","14,209,669.80","14,209,669.80",Materials,6717456,AU000000NST8,S67174565,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SCG,SCENTRE GROUP,Equity,0.66,2.10,"6,576,283.00","13,810,194.30","13,810,194.30",Real Estate,BLZH0Z7,AU000000SCG8,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
AGL,AGL ENERGY LTD,Equity,0.66,17.40,"793,176.00","13,801,262.40","13,801,262.40",Utilities,BSS7GP5,AU000000AGL7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
EVN,EVOLUTION MINING LTD,Equity,0.64,6.19,"2,162,554.00","13,386,209.26","13,386,209.26",Materials,B3X0F91,AU000000EVN4,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
S32,SOUTH32 LTD,Equity,0.64,2.17,"6,161,537.00","13,370,535.29","13,370,535.29",Materials,BWSW5D9,AU000000S320,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
RMD,RESMED CDI INC,Equity,0.62,28.43,"455,070.00","12,937,640.10","12,937,640.10",Health Care,6221667,AU000000RMD6,S62216676,ASX - All Markets,United States,Australian Dollar,Australian Dollar
XRO,XERO LTD,Equity,0.60,91.01,"138,535.00","12,608,070.35","12,608,070.35",Information Technology,B8P4LP4,NZXROE0001S2,--,ASX - All Markets,New Zealand,Australian Dollar,Australian Dollar
ORG,ORIGIN ENERGY LTD,Equity,0.60,5.64,"2,232,864.00","12,593,352.96","12,593,352.96",Energy,6214861,AU000000ORG5,S62148614,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
DXS,DEXUS UNITS,Equity,0.60,9.07,"1,382,971.00","12,543,546.97","12,543,546.97",Real Estate,B033YN6,AU000000DXS1,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
STO,SANTOS LTD,Equity,0.55,5.16,"2,249,033.00","11,605,010.28","11,605,010.28",Energy,6776703,AU000000STO6,S67767038,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
AZJ,AURIZON HOLDINGS LTD,Equity,0.54,4.70,"2,417,636.00","11,362,889.20","11,362,889.20",Industrials,B87CVM3,AU000000AZJ1,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
MFG,MAGELLAN FINANCIAL GROUP LTD,Equity,0.54,60.25,"186,884.00","11,259,761.00","11,259,761.00",Financials,B015YX4,AU000000MFG4,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
MGR,MIRVAC GROUP UNITS,Equity,0.50,2.11,"4,980,741.00","10,509,363.51","10,509,363.51",Real Estate,6161978,AU000000MGR9,S61619789,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
GPT,GPT GROUP STAPLED UNITS,Equity,0.49,4.14,"2,465,591.00","10,207,546.74","10,207,546.74",Real Estate,6365866,AU000000GPT8,S63658660,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
MPL,MEDIBANK PRIVATE LTD,Equity,0.49,2.94,"3,471,536.00","10,206,315.84","10,206,315.84",Financials,BRTNNQ5,AU000000MPL3,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
TWE,TREASURY WINE ESTATES LTD,Equity,0.48,10.98,"917,506.00","10,074,215.88","10,074,215.88",Consumer Staples,B61JC67,AU000000TWE9,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SEK,SEEK LTD,Equity,0.46,21.69,"447,401.00","9,704,127.69","9,704,127.69",Communication,B0767Y3,AU000000SEK6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SGP,STOCKLAND UNITS LTD,Equity,0.46,3.18,"3,003,437.00","9,550,929.66","9,550,929.66",Real Estate,6850856,AU000000SGP0,S68508563,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
LLC,LENDLEASE GROUP STAPLED UNITS,Equity,0.46,11.45,"833,693.00","9,545,784.85","9,545,784.85",Real Estate,6512004,AU000000LLC3,S65120040,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ORI,ORICA LTD,Equity,0.42,17.07,"512,935.00","8,755,800.45","8,755,800.45",Materials,6458001,AU000000ORI1,S64580012,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ALD,CALTEX AUSTRALIA LTD,Equity,0.41,27.02,"317,565.00","8,580,606.30","8,580,606.30",Energy,BM91201,AU0000088338,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
QAN,QANTAS AIRWAYS LTD,Equity,0.41,3.63,"2,362,130.00","8,574,531.90","8,574,531.90",Industrials,6710347,AU000000QAN2,S67103473,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CPU,COMPUTERSHARE LTD,Equity,0.41,13.52,"628,601.00","8,498,685.52","8,498,685.52",Information Technology,6180412,AU000000CPU5,S61804126,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
TAH,TABCORP HOLDINGS LTD,Equity,0.40,3.27,"2,578,586.00","8,431,976.22","8,431,976.22",Consumer Discretionary,6873262,AU000000TAH8,S68732627,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SAR,SARACEN MINERAL HOLDINGS LTD,Equity,0.39,5.89,"1,386,000.00","8,163,540.00","8,163,540.00",Materials,6168838,AU000000SAR9,S61688388,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ALX,MACQUARIE ATLAS ROADS GROUP UNITS,Equity,0.37,6.48,"1,196,887.00","7,755,827.76","7,755,827.76",Industrials,BZ03TZ1,AU0000013559,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
AMP,AMP LTD,Equity,0.36,1.74,"4,345,851.00","7,561,780.74","7,561,780.74",Financials,6709958,AU000000AMP6,S67099580,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BSL,BLUESCOPE STEEL LTD,Equity,0.35,11.58,"639,332.00","7,403,464.56","7,403,464.56",Materials,6533232,AU000000BSL0,S65332322,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
AUD,AUD CASH,Cash,0.34,100.00,"7,216,295.00","7,216,295.18","7,216,295.18",Cash and/or Derivatives,--,--,--,--,Australia,Australian Dollar,Australian Dollar
OSH,OIL SEARCH LTD,Equity,0.33,3.01,"2,320,983.00","6,986,158.83","6,986,158.83",Energy,6657604,PG0008579883,S66576042,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
VCX,VICINITY CENTRES LTD,Equity,0.32,1.36,"4,956,020.00","6,740,187.20","6,740,187.20",Real Estate,BY7QXS7,AU000000VCX7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
QUB,QUBE HOLDINGS LTD,Equity,0.32,2.78,"2,399,317.00","6,670,101.26","6,670,101.26",Industrials,B1L4BC6,AU000000QUB5,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
REA,REA GROUP LTD,Equity,0.31,105.28,"62,050.00","6,532,624.00","6,532,624.00",Communication,6198578,AU000000REA9,S61985784,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NXT,NEXTDC LTD,Equity,0.30,10.95,"580,971.00","6,361,632.45","6,361,632.45",Information Technology,B5LMKP4,AU000000NXT8,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ANN,ANSELL LTD,Equity,0.30,38.88,"163,596.00","6,360,612.48","6,360,612.48",Health Care,6286611,AU000000ANN9,S62866116,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
JBH,JB HI-FI LTD,Equity,0.30,42.87,"144,947.00","6,213,877.89","6,213,877.89",Consumer Discretionary,6702623,AU000000JBH7,S67026237,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BLD,BORAL LTD,Equity,0.28,3.73,"1,562,193.00","5,826,979.89","5,826,979.89",Materials,6218670,AU000000BLD2,S62186705,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CHC,CHARTER HALL GROUP STAPLED UNITS,Equity,0.28,9.82,"593,204.00","5,825,263.28","5,825,263.28",Real Estate,B15F6S6,AU000000CHC0,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
DMP,DOMINOS PIZZA ENTERPRISES LTD,Equity,0.28,72.91,"79,871.00","5,823,394.61","5,823,394.61",Consumer Discretionary,B07SFG7,AU000000DMP0,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CWY,CLEANAWAY WASTE MANAGEMENT LTD,Equity,0.27,2.19,"2,616,844.00","5,730,888.36","5,730,888.36",Industrials,BYQ8KW7,AU000000CWY3,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CAR,CARSALES.COM LTD,Equity,0.27,18.24,"307,177.00","5,602,908.48","5,602,908.48",Communication,BW0BGZ3,AU000000CAR3,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CCL,COCA-COLA AMATIL LTD,Equity,0.26,8.54,"643,626.00","5,496,566.04","5,496,566.04",Consumer Staples,6123451,AU000000CCL2,S61234514,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
FPH,FISHER AND PAYKEL HEALTHCARE CORPO,Equity,0.26,33.68,"160,269.00","5,397,859.92","5,397,859.92",Health Care,6423968,NZFAPE0001S2,S64239684,ASX - All Markets,New Zealand,Australian Dollar,Australian Dollar
AWC,ALUMINA LTD,Equity,0.26,1.78,"3,008,154.00","5,369,554.89","5,369,554.89",Materials,6954985,AU000000AWC3,S69549855,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
OZL,OZ MINERALS LTD,Equity,0.25,12.68,"412,950.00","5,236,206.00","5,236,206.00",Materials,6397825,AU000000OZL8,S63978258,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ALU,ALTIUM LTD,Equity,0.24,32.90,"155,178.00","5,105,356.20","5,105,356.20",Information Technology,6167697,AU000000ALU8,S61676979,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SKI,SPARK INFRASTRUCTURE,Equity,0.24,2.30,"2,196,875.00","5,052,812.50","5,052,812.50",Utilities,B0T9JZ5,AU000000SKI7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
MIN,MINERAL RESOURCES LTD,Equity,0.23,23.75,"204,040.00","4,845,950.00","4,845,950.00",Materials,B17ZL56,AU000000MIN4,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
APX,APPEN LTD,Equity,0.23,35.77,"134,944.00","4,826,946.88","4,826,946.88",Information Technology,BTPJH25,AU000000APX3,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ILU,ILUKA RESOURCES LTD,Equity,0.23,8.98,"537,043.00","4,822,646.14","4,822,646.14",Materials,6957575,AU000000ILU1,S69575751,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ALQ,ALS LTD,Equity,0.22,7.62,"613,967.00","4,678,428.54","4,678,428.54",Industrials,B86SZR5,AU000000ALQ6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BEN,BENDIGO AND ADELAIDE BANK LTD,Equity,0.22,6.78,"676,122.00","4,584,107.16","4,584,107.16",Financials,6091280,AU000000BEN6,S60912805,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
IPL,INCITEC PIVOT LTD,Equity,0.22,1.88,"2,434,321.00","4,564,351.88","4,564,351.88",Materials,6673042,AU000000IPL1,S66730425,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CWN,CROWN RESORTS LTD,Equity,0.19,8.98,"448,559.00","4,028,059.82","4,028,059.82",Consumer Discretionary,B29LCJ0,AU000000CWN6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
AST,AUSNET SERVICES,Equity,0.19,1.76,"2,280,374.00","4,024,860.11","4,024,860.11",Utilities,BPXR7J0,AU000000AST5,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WTC,WISETECHGLOBAL PTY LTD,Equity,0.19,21.17,"187,337.00","3,965,924.29","3,965,924.29",Information Technology,BZ8GX83,AU000000WTC3,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
